shot,a4,resid_rms
11698_cv,24.0,0.002050296636298299
11698_cv,25.0,0.0020503040868788958
11698_cv,26.0,0.002050285693258047
11698_cv,27.0,0.0020502684637904167
11698_cv,28.0,0.0020503222476691008
11698_cv,29.0,0.0020503064151853323
11698_cv,30.0,0.002050352282822132
11698_cv,31.0,0.0020503057166934013
11698_cv,32.0,0.0020503224804997444
11698_cv,33.0,0.002050355775281787
11698_cv,34.0,0.0020503136329352856
11698_cv,35.0,0.0020503103733062744
11698_cv,36.0,0.0020502936094999313
11698_cv,37.0,0.002050288487225771
11698_cv,38.0,0.002050273586064577
11698_cv,39.0,0.002050346229225397
11698_cv,40.0,0.0020502896513789892
11698_cv,41.0,0.002050303388386965
11698_cv,42.0,0.002050277078524232
11698_cv,43.0,0.002050242619588971
11698_cv,44.0,0.002050199080258608
11698_cv,45.0,0.0020501427352428436
11698_cv,46.0,0.0020500400569289923
11698_cv,47.0,0.0020498940721154213
11698_cv,48.0,0.002049532253295183
11698_cv,49.0,0.0020494309719651937
11698_ch,1.0,0.0021198263857513666
11698_ch,2.0,0.0021198433823883533
11698_ch,3.0,0.0021198394242674112
11698_ch,4.0,0.0021198750473558903
11698_ch,5.0,0.002119847573339939
11698_ch,6.0,0.0021198587492108345
11698_ch,7.0,0.0021198613103479147
11698_ch,8.0,0.002119867131114006
11698_ch,9.0,0.002119879238307476
11698_ch,10.0,0.0021198804024606943
11698_ch,11.0,0.002119901357218623
11698_ch,12.0,0.002620898885652423
11698_ch,13.0,0.002544664079323411
11698_ch,14.0,0.00249773683026433
11698_ch,15.0,0.0024557008873671293
11698_ch,16.0,0.0024172039702534676
11698_ch,17.0,0.002119889250025153
11698_ch,18.0,0.0023493431508541107
11698_ch,19.0,0.002320149214938283
11698_ch,20.0,0.0021198790054768324
