shot,source_zip,n_bins,mev_per_bin,rank,pred_bin,energy_lo_mev,energy_hi_mev,confidence
14907_sasb,tpw22sas.zip,50,1.0,2,24,24.0,25.0,1e-06
14907_sasb,tpw22sas.zip,50,1.0,3,0,0.0,1.0,0.0
14907_sasb,tpw22sas.zip,100,0.5,1,2,1.0,1.5,1.0
14907_sasb,tpw22sas.zip,100,0.5,2,1,0.5,1.0,0.0
14907_sasb,tpw22sas.zip,100,0.5,3,3,1.5,2.0,0.0
14907_sasb,tpw22sas.zip,200,0.25,1,4,1.0,1.25,0.999335
14907_sasb,tpw22sas.zip,200,0.25,2,5,1.25,1.5,0.000665
14907_sasb,tpw22sas.zip,200,0.25,3,3,0.75,1.0,0.0
14909_sasb,tpw22sas.zip,10,5.0,1,0,0.0,5.0,0.999474
14909_sasb,tpw22sas.zip,10,5.0,2,4,20.0,25.0,0.000362
14909_sasb,tpw22sas.zip,10,5.0,3,5,25.0,30.0,6e-05
14909_sasb,tpw22sas.zip,20,2.5,1,0,0.0,2.5,0.999998
14909_sasb,tpw22sas.zip,20,2.5,2,12,30.0,32.5,2e-06
14909_sasb,tpw22sas.zip,20,2.5,3,5,12.5,15.0,0.0
14909_sasb,tpw22sas.zip,50,1.0,1,1,1.0,2.0,0.999999
14909_sasb,tpw22sas.zip,50,1.0,2,24,24.0,25.0,1e-06
14909_sasb,tpw22sas.zip,50,1.0,3,0,0.0,1.0,0.0
14909_sasb,tpw22sas.zip,100,0.5,1,2,1.0,1.5,1.0
14909_sasb,tpw22sas.zip,100,0.5,2,1,0.5,1.0,0.0
14909_sasb,tpw22sas.zip,100,0.5,3,3,1.5,2.0,0.0
14909_sasb,tpw22sas.zip,200,0.25,1,4,1.0,1.25,0.999392
14909_sasb,tpw22sas.zip,200,0.25,2,5,1.25,1.5,0.000608
14909_sasb,tpw22sas.zip,200,0.25,3,3,0.75,1.0,0.0
